0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:47:33 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:47:34 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:47:35 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:47:35 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:47:36 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:47:36 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:47:45 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:48:00 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:51:31 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:51:32 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:56:00 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2910
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:56:29 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2883
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:56:29 +0900] "GET /bookBoard/registerProc.jsp?stu_grade=None&stu_no=&stu_name=&stu_pw=&stu_tel=&stu_class=None HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [25/Nov/2019:11:00:22 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [25/Nov/2019:11:00:23 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [25/Nov/2019:11:00:24 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [25/Nov/2019:11:00:24 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [25/Nov/2019:11:00:24 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [25/Nov/2019:11:00:30 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [25/Nov/2019:11:00:31 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [25/Nov/2019:11:00:31 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [25/Nov/2019:11:00:32 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2871
0:0:0:0:0:0:0:1 - - [25/Nov/2019:11:00:32 +0900] "GET /bookBoard/register.jsp HTTP/1.1" 200 2871
